14963 ,1877,531,500,1995,4071,1221,376,3973
12235 ,1129,438,324,1263,1582,547,766,1931
21562 ,1707,677,479,2406,1937,702,376,1729
13894 ,1165,615,360,1296,726,472,362,860
40202 ,2419,1104,405,2736,3841,2300,468,3228
23893 ,2143,1042,406,2958,2263,1266,384,2684
13228 ,1582,547,766,1931,1165,615,360,1296
15756 ,1937,702,376,1729,810,760,360,2582
26399 ,1440,779,585,1698,2143,1042,406,2958
33133 ,4071,1221,376,3973,2303,996,775,2936
63854 ,2263,1266,384,2684,2419,1104,405,2736
25243 ,7405,1260,376,6923,1877,531,500,1995
17233 ,726,472,362,860,1707,677,479,2406
47188 ,3841,2300,468,3228,1863,1247,379,2434
16881 ,1145,695,371,1430,1129,438,324,1263
