score_win,score_lose,num,label
0,4,22573,0
2,1,9297,1
1,2,9297,0
3,1,13931,1
1,3,13931,0
3,4,10078,0
4,3,10078,1
1,0,15523,1
0,1,15523,0
2,3,12584,0
3,2,12584,1
0,2,18251,0
2,0,18251,1
0,1,52699,0
1,0,52699,1
1,2,13189,0
2,1,13189,1
1,2,21559,0
2,1,21559,1
5,1,15783,1
1,5,15783,0
1,0,12429,1
0,1,12429,0
0,1,12091,0
1,0,12091,1
1,0,15757,1
0,1,15757,0
2,0,32663,1
0,2,32663,0
3,1,21734,1
1,3,21734,0
2,1,14104,1
1,2,14104,0
1,0,11426,1
0,1,11426,0
1,2,16832,0
2,1,16832,1
2,1,22028,1
1,2,22028,0
5,2,9440,1
2,5,9440,0
0,2,51580,0
2,0,51580,1
0,1,12764,0
1,0,12764,1
3,1,15234,1
1,3,15234,0
4,0,16110,1
0,4,16110,0
0,1,14545,0
1,0,14545,1
0,2,12848,0
2,0,12848,1
0,1,12421,0
1,0,12421,1
0,2,20295,0
2,0,20295,1
3,0,15865,1
0,3,15865,0
3,2,15503,1
2,3,15503,0
2,1,22024,1
1,2,22024,0
2,3,12123,0
3,2,12123,1
2,1,16506,1
1,2,16506,0
1,4,15181,0
4,1,15181,1
4,0,12354,1
0,4,12354,0
1,5,16628,0
5,1,16628,1
0,1,35040,0
1,0,35040,1
2,4,11846,0
4,2,11846,1
3,2,20417,1
2,3,20417,0
2,0,17005,1
0,2,17005,0
2,0,16455,1
0,2,16455,0
0,0,8171,1
0,0,8171,0
1,2,41239,0
2,1,41239,1
3,4,8347,0
4,3,8347,1
1,0,22150,1
0,1,22150,0
1,0,9056,1
0,1,9056,0
1,2,14152,0
2,1,14152,1
2,1,11188,1
1,2,11188,0
0,2,11227,0
2,0,11227,1
2,3,15118,0
3,2,15118,1
1,1,43502,1
1,1,43502,0
4,1,43279,1
1,4,43279,0
1,2,15669,0
2,1,15669,1
0,1,21485,0
1,0,21485,1
1,3,10439,0
3,1,10439,1
2,3,16093,0
3,2,16093,1
3,1,13205,1
1,3,13205,0
3,2,7563,1
2,3,7563,0
2,1,18786,1
1,2,18786,0
5,2,15672,1
2,5,15672,0
1,0,14543,1
0,1,14543,0
0,3,11591,0
3,0,11591,1
4,3,35822,1
3,4,35822,0
1,0,19735,1
0,1,19735,0
1,2,15639,0
2,1,15639,1
1,2,21101,0
2,1,21101,1
5,1,10376,1
1,5,10376,0
1,7,14032,0
7,1,14032,1
2,1,45741,1
1,2,45741,0
2,2,12062,1
2,2,12062,0
1,2,13025,0
2,1,13025,1
0,1,19209,0
1,0,19209,1
2,0,15819,1
0,2,15819,0
2,1,14340,1
1,2,14340,0
4,0,21135,1
0,4,21135,0
1,2,28802,0
2,1,28802,1
3,0,16965,1
0,3,16965,0
2,1,9617,1
1,2,9617,0
2,3,7774,0
3,2,7774,1
3,0,31774,1
0,3,31774,0
5,0,12591,1
0,5,12591,0
2,3,12332,0
3,2,12332,1
3,2,12049,1
2,3,12049,0
0,1,11206,0
1,0,11206,1
2,1,14663,1
1,2,14663,0
0,2,20938,0
2,0,20938,1
3,0,10038,1
0,3,10038,0
5,0,21174,1
0,5,21174,0
1,0,15599,1
0,1,15599,0
2,1,17934,1
1,2,17934,0
4,1,18245,1
1,4,18245,0
1,1,11905,1
1,1,11905,0
1,2,8098,0
2,1,8098,1
1,3,19044,0
3,1,19044,1
0,0,13032,1
0,0,13032,0
1,0,12249,1
0,1,12249,0
0,4,34883,0
4,0,34883,1
2,1,7215,1
1,2,7215,0
1,2,8008,0
2,1,8008,1
2,3,17983,0
3,2,17983,1
1,0,10213,1
0,1,10213,0
2,0,17724,1
0,2,17724,0
1,3,13409,0
3,1,13409,1
1,3,50093,0
3,1,50093,1
2,5,13061,0
5,2,13061,1
5,0,10912,1
0,5,10912,0
3,1,19943,1
1,3,19943,0
3,2,17976,1
2,3,17976,0
3,1,12820,1
1,3,12820,0
2,1,19878,1
1,2,19878,0
6,3,8451,1
3,6,8451,0
0,1,22293,0
1,0,22293,1
0,0,10331,1
0,0,10331,0
0,1,9472,0
1,0,9472,1
2,0,13232,1
0,2,13232,0
0,1,19712,0
1,0,19712,1
0,1,20974,0
1,0,20974,1
3,0,13074,1
0,3,13074,0
4,2,29523,1
2,4,29523,0
1,3,12611,0
3,1,12611,1
2,1,12734,1
1,2,12734,0
1,1,14664,1
1,1,14664,0
3,2,7449,1
2,3,7449,0
2,3,42191,0
3,2,42191,1
2,1,10638,1
1,2,10638,0
1,3,17009,0
3,1,17009,1
5,1,15508,1
1,5,15508,0
2,1,22329,1
1,2,22329,0
2,1,15758,1
1,2,15758,0
0,1,11462,0
1,0,11462,1
2,1,12074,1
1,2,12074,0
4,2,14624,1
2,4,14624,0
3,1,21337,1
1,3,21337,0
3,1,19484,1
1,3,19484,0
2,2,47653,1
2,2,47653,0
3,0,18222,1
0,3,18222,0
1,0,10181,1
0,1,10181,0
1,3,8320,0
3,1,8320,1
2,0,7194,1
0,2,7194,0
4,3,11044,1
3,4,11044,0
1,4,32876,0
4,1,32876,1
2,2,19455,1
2,2,19455,0
3,3,14273,1
3,3,14273,0
0,2,12170,0
2,0,12170,1
0,0,11851,1
